run,status,duration_ms,duration_s,answer_token_est,question_token_est,answer
61,200,4781,4.781,59,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for self-employed individuals or their spouse/common-law partner, it is June 15, 2026, with any balance owing due by April 30, 2026."
37,200,4777,4.777,61,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025."
39,200,4664,4.664,67,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, for self-employed individuals or their spouses/common-law partners, while any balance owing must be paid by April 30, 2026."
45,200,4643,4.643,58,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and June 15, 2026, if you or your spouse/common-law partner are self-employed, but any balance owing must be paid by April 30, 2026."
17,200,4641,4.641,62,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, with a later deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, but any taxes owed must still be paid by April 30, 2026."
11,200,4640,4.640,61,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, and June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, with any taxes owed payable by April 30, 2026."
87,200,4590,4.590,71,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, and if you or your spouse or common-law partner were self-employed, the deadline is June 15, 2026, but any amount owed must still be paid by April 30, 2026."
30,200,4577,4.577,76,25,"The deadline for most individuals to file their personal income tax return for the 2025 tax year in Canada is April 30, 2026, with an extended deadline of June 15, 2026, for self-employed individuals and their spouses or common-law partners, although any taxes owed must still be paid by April 30, 2026."
25,200,4541,4.541,79,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with an extended deadline of June 15, 2026, for those who are self-employed or have a spouse or common-law partner who is self-employed, but taxes owed must still be paid by April 30, 2026."
93,200,4526,4.526,65,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses or common-law partners, but any taxes owed must still be paid by April 30, 2026."
60,200,4491,4.491,65,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, but if you or your spouse or common-law partner were self-employed in 2025, the deadline to file is June 15, 2026, with payment still due by April 30, 2026."
5,200,4445,4.445,76,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with an extended deadline of June 15, 2026 for self-employed individuals and their spouses or common-law partners, though any balance owing must still be paid by April 30, 2026."
88,200,4440,4.440,64,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and if you or your spouse or common-law partner were self-employed in 2025, the deadline is June 15, 2026, with any taxes owed still due on April 30, 2026."
92,200,4439,4.439,62,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, except for self-employed individuals or their spouses/common-law partners, who have until June 15, 2026, to file; however, any taxes owed must be paid by April 30, 2026."
14,200,4424,4.424,48,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025."
9,200,4421,4.421,63,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026; self-employed individuals and their spouses or common-law partners have until June 15, 2026, to file, but any taxes owed must be paid by April 30, 2026."
90,200,4409,4.409,59,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for self-employed individuals or their spouses/common-law partners, it is June 15, 2026, with taxes owed payable by April 30, 2026."
78,200,4406,4.406,71,25,"The deadline for most individuals to file their personal income tax return in Canada for 2025 taxes is April 30, 2026, and if you or your spouse or common-law partner were self-employed in 2025, the deadline is June 15, 2026, but any taxes owed must still be paid by April 30, 2026."
99,200,4389,4.389,73,25,"The deadline for most individuals to file their personal income tax return in Canada for 2025 taxes is April 30, 2026, with an extended deadline of June 15, 2026, for self-employed individuals and their spouses or common-law partners, but any taxes owed must still be paid by April 30, 2026."
96,200,4388,4.388,60,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, except for self-employed individuals and their spouse or common-law partner who have until June 15, 2026, to file, but must pay any owed taxes by April 30, 2026."
29,200,4378,4.378,53,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with a later deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025."
58,200,4348,4.348,59,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for self-employed individuals or their spouse/common-law partner, it is June 15, 2026, with any taxes owed due by April 30, 2026."
76,200,4331,4.331,69,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals or their spouses/common-law partners, but any taxes owed must be paid by April 30, 2026."
51,200,4308,4.308,62,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, for those who were self-employed or had a spouse or common-law partner who was self-employed in 2025."
79,200,4303,4.303,74,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with a later deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, but any taxes owed must still be paid by April 30, 2026."
59,200,4290,4.290,64,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and if you or your spouse/common-law partner were self-employed in 2025, the deadline is June 15, 2026, but any taxes owed must be paid by April 30, 2026."
21,200,4275,4.275,60,25,"The deadline for most individuals to file a personal income tax return in Canada for the 2025 tax year is April 30, 2026, with June 15, 2026, as the extended deadline for self-employed individuals and their spouses or common-law partners."
42,200,4263,4.263,64,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses or common-law partners, but any tax owing must be paid by April 30, 2026."
56,200,4247,4.247,72,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline for those who were self-employed or whose spouse or common-law partner was self-employed in 2025, but any taxes owed must still be paid by April 30, 2026."
62,200,4242,4.242,60,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for self-employed individuals or their spouse/common-law partner, it is June 15, 2026, with any taxes owed still due by April 30, 2026."
55,200,4239,4.239,61,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for self-employed individuals or their spouses/common-law partners, it is June 15, 2026, with any taxes owed still due by April 30, 2026."
27,200,4238,4.238,61,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, but any taxes owed must be paid by April 30, 2026."
3,200,4236,4.236,66,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for those who were self-employed or whose spouse/common-law partner was self-employed, the deadline is June 15, 2026, with any tax owed due by April 30, 2026."
13,200,4216,4.216,65,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, except for self-employed individuals and their spouses or common-law partners, who have until June 15, 2026, to file; however, any taxes owed must still be paid by April 30, 2026."
34,200,4216,4.216,62,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, and for self-employed individuals or their spouses, it is June 15, 2026, with any taxes owed payable by April 30, 2026."
1,200,4212,4.212,71,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with a June 15, 2026 deadline if you or your spouse/common-law partner were self-employed in 2025, but any taxes owed must still be paid by April 30, 2026."
89,200,4146,4.146,48,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025."
35,200,4142,4.142,57,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with a June 15, 2026 deadline if you or your spouse or common-law partner were self-employed in 2025."
98,200,4116,4.116,49,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, except for self-employed individuals and their spouses or common-law partners who have until June 15, 2026, to file."
33,200,4099,4.099,60,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, or June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, with any taxes owed to be paid by April 30, 2026."
12,200,4079,4.079,68,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for those who are self-employed or whose spouse or common-law partner is self-employed, the deadline is June 15, 2026, with any taxes owed still due by April 30, 2026."
28,200,4047,4.047,61,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses, although any taxes owed must still be paid by April 30, 2026."
2,200,4034,4.034,64,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses or common-law partners, but any balance owing must be paid by April 30, 2026."
44,200,4030,4.030,62,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, except for self-employed individuals and their spouses or common-law partners who have until June 15, 2026 to file, but must still pay any owed taxes by April 30, 2026."
63,200,4029,4.029,53,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse/common-law partner were self-employed in 2025."
20,200,4022,4.022,56,25,"The deadline for most individuals to file their personal income tax return in Canada for 2025 taxes is April 30, 2026, with a June 15, 2026, deadline if self-employed or if the spouse/common-law partner was self-employed."
68,200,3993,3.993,68,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, and if you or your spouse/common-law partner were self-employed in 2025, the filing deadline is June 15, 2026, but any taxes owed must still be paid by April 30, 2026."
43,200,3988,3.988,71,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, for those who are self-employed or have a spouse/common-law partner who is self-employed, but any taxes owed must be paid by April 30, 2026."
7,200,3969,3.969,54,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025."
69,200,3951,3.951,73,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline for those who were self-employed or have a spouse/common-law partner who was self-employed in 2025, but any taxes owed must still be paid by April 30, 2026."
72,200,3910,3.910,66,25,"The deadline for most individuals to file their 2025 personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals or their spouses/common-law partners, but any taxes owed must still be paid by April 30, 2026."
94,200,3885,3.885,58,25,"The deadline for most individuals to file their personal income tax return in Canada for 2025 taxes is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse/common-law partner were self-employed in 2025."
24,200,3882,3.882,48,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse/common-law partner were self-employed in 2025."
23,200,3859,3.859,70,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, for self-employed individuals and their spouses or common-law partners, although any balance owing must still be paid by April 30, 2026."
31,200,3848,3.848,65,25,"The deadline for most individuals to file their 2025 personal income tax return in Canada is April 30, 2026, and for self-employed persons or their spouse/common-law partner, the deadline is June 15, 2026, with any balance owing still due by April 30, 2026."
54,200,3837,3.837,69,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, but any amount owing must still be paid by April 30, 2026."
70,200,3831,3.831,68,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, but any tax owed must still be paid by April 30, 2026."
40,200,3821,3.821,61,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with an extended deadline of June 15, 2026, for those who were self-employed or whose spouse/common-law partner was self-employed in 2025."
36,200,3809,3.809,69,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for those who were self-employed or have a spouse/common-law partner who was self-employed, the deadline is June 15, 2026, with any taxes owed payable by April 30, 2026."
8,200,3802,3.802,62,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, and for those self-employed or with a self-employed spouse/common-law partner, the filing deadline is June 15, 2026, but any taxes owed must be paid by April 30, 2026."
97,200,3779,3.779,55,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025."
47,200,3762,3.762,66,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, while self-employed individuals and their spouses or common-law partners have until June 15, 2026, to file, but any taxes owed must still be paid by April 30, 2026."
66,200,3758,3.758,51,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, or June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, with payment due by April 30, 2026."
82,200,3743,3.743,55,25,"The deadline for most individuals to file their personal income tax return in Canada for 2025 taxes is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses or common-law partners."
53,200,3739,3.739,64,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, or June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, but any balance owing must still be paid by April 30, 2026."
15,200,3697,3.697,25,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026."
4,200,3663,3.663,66,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses or common-law partners, but any tax payment owed must still be made by April 30, 2026."
77,200,3659,3.659,71,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses or common-law partners, though any balance owing must be paid by April 30, 2026."
6,200,3657,3.657,54,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with a June 15, 2026 deadline if you or your spouse/common-law partner were self-employed."
65,200,3653,3.653,66,25,"The deadline for most individuals to file their 2025 personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline if you or your spouse/common-law partner were self-employed in 2025, but any taxes owed must still be paid by April 30, 2026."
95,200,3651,3.651,62,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025; however, any taxes owed must be paid by April 30, 2026."
73,200,3637,3.637,72,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with an extended deadline of June 15, 2026, for those who or whose spouse or common-law partner were self-employed in 2025, but any amount owing must still be paid by April 30, 2026."
84,200,3601,3.601,71,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses or common-law partners, although any taxes owed must be paid by April 30, 2026."
83,200,3574,3.574,68,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline for those self-employed or with a spouse/common-law partner who is self-employed, but any taxes owed must still be paid by April 30, 2026."
64,200,3530,3.530,53,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, for self-employed individuals or their spouses/common-law partners."
71,200,3511,3.511,58,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, and for self-employed individuals or their spouses, it is June 15, 2026, although any taxes owed must be paid by April 30, 2026."
91,200,3508,3.508,73,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extension to June 15, 2026, for those who were self-employed or whose spouse/common-law partner was self-employed in 2025, but any amounts owed must still be paid by April 30, 2026."
52,200,3472,3.472,48,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025."
48,200,3416,3.416,42,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, or June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025."
57,200,3349,3.349,56,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30 of the year after the tax year, with a June 15 deadline for self-employed individuals, but any taxes owed must be paid by April 30."
41,200,3329,3.329,70,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with an extended deadline of June 15, 2026, for self-employed individuals and their spouses or common-law partners, but any balance owing must still be paid by April 30, 2026."
100,200,3020,3.020,26,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026."
